date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-05-26,GHCND:USW00014764,47,",,W,",442,",,W,2400",0,",,W,",0,",,W,2400",105,"H,,S,",133,",,W,2400",89,",,W,2400",60,",,W,",60,",,W,",116,",,W,",183,",,W,",1,",,W,",1,",,W,",,,,
2017-05-27,GHCND:USW00014764,33,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",126,"H,,S,",172,",,W,2400",89,",,W,2400",160,",,W,",170,",,W,",67,",,W,",85,",,W,",1,",,W,",,,,,,
2017-05-28,GHCND:USW00014764,25,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",111,"H,,S,",150,",,W,2400",72,",,W,2400",150,",,W,",170,",,W,",67,",,W,",89,",,W,",,,,,,,,
2017-05-29,GHCND:USW00014764,47,",,W,",5,",,W,2400",0,",,W,",0,",,W,2400",88,"H,,S,",94,",,W,2400",78,",,W,2400",100,",,W,",110,",,W,",89,",,W,",116,",,W,",1,",,W,",,,,,,
2017-05-30,GHCND:USW00014764,26,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",97,"H,,S,",128,",,W,2400",83,",,W,2400",140,",,W,",140,",,W,",72,",,W,",89,",,W,",1,",,W,",,,,,,
2017-05-31,GHCND:USW00014764,35,",,W,",132,",,W,2400",0,",,W,",0,",,W,2400",123,"H,,S,",161,",,W,2400",106,",,W,2400",130,",,W,",170,",,W,",72,",,W,",103,",,W,",1,",,W,",,,1,",,W,",1,",,W,"
2017-06-01,GHCND:USW00014764,29,",,W,",28,",,W,2400",0,",,W,",0,",,W,2400",146,"H,,S,",222,",,W,2400",100,",,W,2400",290,",,W,",280,",,W,",103,",,W,",148,",,W,",1,",,W,",1,",,W,",1,",,W,",,
2017-06-02,GHCND:USW00014764,39,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",153,"H,,S,",200,",,W,2400",78,",,W,2400",270,",,W,",270,",,W,",107,",,W,",152,",,W,",,,,,,,,
2017-06-03,GHCND:USW00014764,36,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",123,"H,,S,",189,",,W,2400",67,",,W,2400",350,",,W,",310,",,W,",76,",,W,",112,",,W,",,,,,,,,
2017-06-04,GHCND:USW00014764,29,",,W,",10,",,W,2400",0,",,W,",0,",,W,2400",144,"H,,S,",217,",,W,2400",67,",,W,2400",180,",,W,",180,",,W,",81,",,W,",116,",,W,",,,,,,,1,",,W,"
2017-06-05,GHCND:USW00014764,41,",,W,",36,",,W,2400",0,",,W,",0,",,W,2400",127,"H,,S,",144,",,W,2400",106,",,W,2400",100,",,W,",70,",,W,",81,",,W,",112,",,W,",1,",,W,",,,,,,
2017-06-06,GHCND:USW00014764,36,",,W,",183,",,W,2400",0,",,W,",0,",,W,2400",102,"H,,S,",117,",,W,2400",89,",,W,2400",40,",,W,",60,",,W,",72,",,W,",130,",,W,",1,",,W,",,,,,,
2017-06-07,GHCND:USW00014764,26,",,W,",8,",,W,2400",0,",,W,",0,",,W,2400",136,"H,,S,",206,",,W,2400",89,",,W,2400",190,",,W,",180,",,W,",72,",,W,",94,",,W,",1,",,W,",,,,,,
2017-06-08,GHCND:USW00014764,33,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",161,"H,,S,",239,",,W,2400",83,",,W,2400",170,",,W,",180,",,W,",98,",,W,",134,",,W,",,,,,,,,
2017-06-09,GHCND:USW00014764,30,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",152,"H,,S,",233,",,W,2400",106,",,W,2400",290,",,W,",220,",,W,",76,",,W,",103,",,W,",,,,,,,,
